user,artist,qty
1,red hot chili peppers,1
1,the black dahlia murder,1
1,goldfrapp,1
1,dropkick murphys,1
1,le tigre,1
1,schandmaul,1
1,edguy,1
1,jack johnson,1
1,eluveitie,1
1,the killers,1
1,judas priest,1
1,rob zombie,1
1,john mayer,1
1,the who,1
1,guano apes,1
1,the rolling stones,1
3,devendra banhart,1
3,boards of canada,1
3,cocorosie,1
3,aphex twin,1
3,animal collective,1
3,atmosphere,1
3,joanna newsom,1
3,air,1
3,portishead,1
3,massive attack,1
3,broken social scene,1
3,arcade fire,1
3,plaid,1
3,prefuse 73,1
3,m83,1
3,the flashbulb,1
3,pavement,1
3,goldfrapp,1
3,amon tobin,1
3,sage francis,1
3,four tet,1
3,max richter,1
3,autechre,1
3,radiohead,1
3,neutral milk hotel,1
3,beastie boys,1
3,aesop rock,1
3,mf doom,1
3,the books,1
4,tv on the radio,1
4,tool,1
4,kyuss,1
4,dj shadow,1
4,air,1
4,a tribe called quest,1
4,the cinematic orchestra,1
4,beck,1
4,bon iver,1
4,röyksopp,1
4,bonobo,1
4,the decemberists,1
4,snow patrol,1
4,battles,1
4,the prodigy,1
4,pink floyd,1
4,rjd2,1
4,the flaming lips,1
4,michael jackson,1
4,mgmt,1
4,the rolling stones,1
4,late of the pier,1
4,flight of the conchords,1
4,simian mobile disco,1
4,muse,1
4,fleetwood mac,1
4,led zeppelin,1
5,dream theater,1
5,ac/dc,1
5,metallica,1
5,iron maiden,1
5,bob marley & the wailers,1
5,megadeth,1
5,children of bodom,1
5,trivium,1
5,nightwish,1
5,sublime,1
5,volbeat,1
6,lily allen,1
6,kanye west,1
6,sigur rós,1
6,pink floyd,1
6,stevie wonder,1
6,metallica,1
6,thievery corporation,1
6,iron maiden,1
6,the streets,1
6,muse,1
6,faith no more,1
6,manu chao,1
6,tenacious d,1
6,depeche mode,1
6,justin timberlake,1
6,green day,1
6,snow patrol,1
6,dream theater,1
6,u2,1
6,jay-z,1
6,type o negative,1
6,pearl jam,1
6,queen,1
7,soundgarden,1
7,stone temple pilots,1
7,buckethead,1
7,dream theater,1
7,alice in chains,1
7,type o negative,1
7,pink floyd,1
7,rush,1
7,king crimson,1
7,camel,1
7,ac/dc,1
7,tool,1
7,disturbed,1
7,oasis,1
7,jethro tull,1
7,porcupine tree,1
7,audioslave,1
7,aerosmith,1
7,pearl jam,1
7,the verve,1
7,rammstein,1
7,led zeppelin,1
9,arch enemy,1
9,strapping young lad,1
9,kreator,1
9,children of bodom,1
9,iron maiden,1
9,sabaton,1
9,helloween,1
9,mastodon,1
9,pantera,1
9,manowar,1
9,gojira,1
9,devildriver,1
9,slayer,1
9,hammerfall,1
9,hatebreed,1
9,in flames,1
9,meshuggah,1
9,finntroll,1
9,gamma ray,1
12,queen,1
12,the beatles,1
12,lynyrd skynyrd,1
12,neil young,1
12,the rolling stones,1
12,the who,1
12,led zeppelin,1
12,pink floyd,1
12,black sabbath,1
12,the police,1
12,t. rex,1
12,simon & garfunkel,1
12,eagles,1
12,jimi hendrix,1
12,jethro tull,1
12,bee gees,1
12,van halen,1
12,iron maiden,1
12,bob dylan,1
12,kiss,1
12,ac/dc,1
12,tenacious d,1
12,aerosmith,1
12,ennio morricone,1
12,scorpions,1
12,bruce springsteen,1
12,dire straits,1
12,guns n roses,1
12,inxs,1
12,rammstein,1
13,thom yorke,1
13,tom waits,1
13,the notwist,1
13,einstürzende neubauten,1
13,the flaming lips,1
13,billie holiday,1
13,the books,1
14,sonic youth,1
14,the fall,1
14,mogwai,1
14,the velvet underground,1
14,stereolab,1
14,my bloody valentine,1
14,the radio dept.,1
14,the kinks,1
18,sonata arctica,1
18,infected mushroom,1
18,iron maiden,1
18,creedence clearwater revival,1
18,nightwish,1
18,mindless self indulgence,1
18,electric light orchestra,1
18,john williams,1
18,michael jackson,1
18,fleetwood mac,1
18,aphex twin,1
19,the kills,1
19,a perfect circle,1
19,crystal castles,1
19,beck,1
19,coldplay,1
19,kent,1
19,interpol,1
19,nine inch nails,1
19,sonic youth,1
19,beirut,1
19,gorillaz,1
19,mgmt,1
19,the radio dept.,1
19,håkan hellström,1
19,the kooks,1
19,klaxons,1
19,fischerspooner,1
19,bob marley & the wailers,1
19,portishead,1
19,sex pistols,1
19,iron & wine,1
19,the shins,1
19,yo la tengo,1
19,the libertines,1
19,thom yorke,1
19,röyksopp,1
19,animal collective,1
19,nouvelle vague,1
19,josé gonzález,1
19,bloc party,1
19,ladytron,1
19,placebo,1
19,le tigre,1
19,n*e*r*d,1
19,cut copy,1
19,daft punk,1
19,cocorosie,1
19,the wombats,1
19,múm,1
19,the postal service,1
19,franz ferdinand,1
20,of montreal,1
20,the magnetic fields,1
20,devo,1
20,talking heads,1
20,fall out boy,1
20,pinback,1
20,cocorosie,1
20,regina spektor,1
20,interpol,1
20,beck,1
20,the dandy warhols,1
20,the mountain goats,1
20,radiohead,1
20,ratatat,1
20,clap your hands say yeah,1
20,the strokes,1
20,pixies,1
20,frank zappa,1
20,david bowie,1
20,architecture in helsinki,1
20,the sounds,1
20,the beatles,1
20,tom waits,1
20,john frusciante,1
20,mgmt,1
20,beirut,1
20,blink-182,1
20,joy division,1
22,the jam,1
22,maxïmo park,1
22,supergrass,1
22,simon & garfunkel,1
22,paul simon,1
22,blur,1
22,oasis,1
22,snow patrol,1
22,the who,1
22,r.e.m.,1
22,arctic monkeys,1
22,babyshambles,1
22,kasabian,1
22,the libertines,1
22,kings of leon,1
22,pulp,1
22,radiohead,1
22,john lennon,1
22,the strokes,1
22,the stone roses,1
22,dirty pretty things,1
22,editors,1
22,paul mccartney,1
22,the cure,1
22,joy division,1
22,the fratellis,1
22,u2,1
22,david bowie,1
22,doves,1
22,the rolling stones,1
22,the prodigy,1
22,new order,1
23,ramones,1
23,the clash,1
23,franz ferdinand,1
23,jamiroquai,1
23,the rolling stones,1
23,the who,1
23,radiohead,1
23,the kinks,1
23,mando diao,1
23,the chemical brothers,1
23,buzzcocks,1
23,the pogues,1
24,the byrds,1
24,leonard cohen,1
24,the beatles,1
24,simon & garfunkel,1
24,queen,1
24,tom waits,1
24,the beach boys,1
24,neil young,1
