날짜,시가,고가,저가,종가,거래량,등락률
2021-06-01,80500,81300,80100,80600,14058401,0.12422360248447205
2021-06-02,80400,81400,80300,80800,16414644,0.24813895781637718
2021-06-03,81300,83000,81100,82800,29546007,2.4752475247524752
2021-06-04,82700,82700,81500,82200,18112259,-0.7246376811594203
2021-06-07,82700,82800,81600,81900,16496197,-0.36496350364963503
2021-06-08,82300,82600,81800,81900,12781226,0.0
2021-06-09,81500,82000,81100,81100,14908823,-0.9768009768009768
2021-06-10,81300,81400,80900,81000,17586995,-0.12330456226880394
2021-06-11,81200,81700,80700,81000,14087962,0.0
2021-06-14,80800,80900,80500,80500,10550078,-0.6172839506172839
2021-06-15,80900,81200,80600,80900,10075685,0.4968944099378882
2021-06-16,81500,81900,81100,81800,14999855,1.1124845488257107
2021-06-17,81100,81300,80700,80900,14007385,-1.1002444987775062
2021-06-18,81100,81100,80500,80500,14916721,-0.4944375772558714
2021-06-21,79700,80000,79600,79900,16063340,-0.7453416149068323
2021-06-22,80200,80300,79900,80000,11773365,0.1251564455569462
2021-06-23,80500,80600,79900,80100,13856548,0.125
2021-06-24,80400,81400,80100,81200,18771080,1.373283395755306
2021-06-25,81500,81900,81200,81600,13481405,0.49261083743842365
2021-06-28,81700,82000,81600,81900,11578529,0.3676470588235294
2021-06-29,81900,82100,80800,81000,15744317,-1.098901098901099
2021-06-30,81100,81400,80700,80700,13288643,-0.3703703703703704
2021-07-01,80500,80600,80000,80100,13382882,-0.7434944237918215
2021-07-02,80000,80400,79900,80000,8753097,-0.12484394506866417
2021-07-05,80100,80800,80000,80400,8330969,0.5
2021-07-06,80600,81200,80500,81200,12131651,0.9950248756218906
2021-07-07,81200,81300,80300,80800,15992202,-0.49261083743842365
2021-07-08,81100,81200,79900,79900,16660998,-1.1138613861386137
2021-07-09,79600,79800,79000,79400,22720577,-0.6257822277847309
2021-07-12,79900,80000,79500,79700,9768108,0.3778337531486146
2021-07-13,80000,80200,79800,79800,9863450,0.12547051442910914
2021-07-14,79400,79600,79100,79500,11575636,-0.37593984962406013
2021-07-15,79800,80600,79500,80600,13766279,1.3836477987421385
2021-07-16,80100,80100,79500,79800,10859399,-0.9925558312655087
2021-07-19,79100,79200,78800,79000,13155414,-1.0025062656641603
2021-07-20,78500,79000,78400,79000,12456646,0.0
2021-07-21,79000,79100,78500,78500,12355296,-0.6329113924050633
2021-07-22,79000,79800,78900,79700,12618790,1.5286624203821657
2021-07-23,79700,79900,79200,79300,9098910,-0.5018820577164366
2021-07-26,79400,79500,78800,78800,10040975,-0.6305170239596469
2021-07-27,79200,79400,78500,78500,11427693,-0.3807106598984772
2021-07-28,78300,79200,78100,79200,12743417,0.89171974522293
2021-07-29,78800,79400,78800,79000,14360453,-0.25252525252525254
2021-07-30,78900,78900,78500,78500,13823411,-0.6329113924050633
2021-08-02,79200,79500,78700,79300,11739124,1.019108280254777
2021-08-03,79400,81400,79300,81400,24339360,2.648171500630517
2021-08-04,82200,83100,81800,82900,25642368,1.8427518427518428
2021-08-05,83300,83300,82000,82100,18485469,-0.9650180940892641
2021-08-06,81900,82500,81300,81500,13342623,-0.730816077953715
2021-08-09,81500,82300,80900,81500,15522581,0.0
2021-08-10,82300,82400,80100,80200,20362639,-1.5950920245398774
2021-08-11,79600,79800,78500,78500,30241137,-2.119700748129676
2021-08-12,77100,78200,76900,77000,42365223,-1.910828025477707
2021-08-13,75800,76000,74100,74400,61270643,-3.3766233766233764
2021-08-17,74000,75100,74000,74200,30944847,-0.2688172043010753
2021-08-18,73900,74600,73100,73900,29192631,-0.40431266846361186
2021-08-19,73500,74400,73100,73100,22166298,-1.0825439783491204
2021-08-20,73500,73900,72500,72700,22364803,-0.5471956224350205
2021-08-23,73300,74000,73000,73300,19384648,0.8253094910591471
2021-08-24,73900,75700,73900,75600,21016913,3.1377899045020468
2021-08-25,76200,76600,74900,75700,22319664,0.13227513227513227
2021-08-26,76100,76200,74600,74600,16671494,-1.453104359313078
2021-08-27,74300,75000,73800,74300,15172748,-0.40214477211796246
2021-08-30,75400,75500,74200,74600,12686999,0.4037685060565276
2021-08-31,74900,76700,74300,76700,24630370,2.8150134048257374
2021-09-01,76700,77100,75900,76800,16114775,0.1303780964797914
2021-09-02,76800,76800,75700,76000,15347486,-1.0416666666666665
2021-09-03,76400,76700,76000,76600,12096419,0.7894736842105263
2021-09-06,76800,77600,76600,77300,12861180,0.9138381201044387
2021-09-07,77100,77100,75900,76100,13239401,-1.5523932729624839
2021-09-08,76000,76400,75600,76300,11798147,0.2628120893561104
2021-09-09,76400,76600,75000,75300,17600770,-1.310615989515072
2021-09-10,75300,75600,74800,75300,10103212,0.0
2021-09-13,75200,76300,75100,76300,11397775,1.3280212483399734
2021-09-14,77100,77700,76600,76600,18167057,0.39318479685452157
2021-09-15,77400,77400,76400,77000,12829128,0.5221932114882507
2021-09-16,77300,77400,76100,76100,13067622,-1.1688311688311688
2021-09-17,76300,77200,75900,77200,16289502,1.445466491458607
2021-09-23,77500,77600,76800,77400,17055590,0.2590673575129534
2021-09-24,77600,77700,77100,77300,12247274,-0.12919896640826875
2021-09-27,77300,77700,77000,77700,11699798,0.517464424320828
2021-09-28,77700,77800,76200,76300,15406382,-1.8018018018018018
2021-09-29,74800,75300,73800,74100,23992458,-2.8833551769331587
2021-09-30,74300,74800,73700,74100,19919361,0.0
2021-10-01,73900,74000,72900,73200,15803395,-1.214574898785425
2021-10-05,73000,73000,71400,72200,24013921,-1.366120218579235
2021-10-06,72600,72800,71200,71300,18956962,-1.2465373961218837
2021-10-07,71600,72100,71300,71600,13683532,0.42075736325385693
2021-10-08,72300,72400,71500,71500,14043287,-0.13966480446927373
2021-10-12,70700,70900,68700,69000,31001484,-3.4965034965034967
2021-10-13,68700,69600,68300,68800,24172015,-0.2898550724637681
2021-10-14,69000,69800,68800,69400,19520641,0.872093023255814
2021-10-15,70200,71000,70000,70100,18051612,1.0086455331412103
2021-10-18,70200,70300,69200,70200,13486391,0.14265335235378032
2021-10-19,70800,71000,70400,70600,9507991,0.5698005698005698
2021-10-20,70700,71000,70200,70300,10151638,-0.424929178470255
2021-10-21,70300,70600,70000,70200,10891094,-0.1422475106685633
2021-10-22,70000,70700,70000,70400,8395448,0.2849002849002849
2021-10-25,69900,70600,69500,70200,10029621,-0.2840909090909091
2021-10-26,70600,71500,70400,71100,10528252,1.282051282051282
2021-10-27,71000,71000,70000,70100,10295316,-1.4064697609001406
2021-10-28,69500,72200,69500,70700,20644902,0.8559201141226819
2021-10-29,71200,71600,69700,69800,17016151,-1.272984441301273
